name;address;latitude;longitude;tel1;tel2
千鼎租车;谢家湾正街47号附46号;29.5168;106.517;023-86763999;null
久航租车;华岩寺路20号附近;29.4934;106.4483;null;null
米格尔·宜嘉酒店-租车服务;红锦大道567号米格尔酒店;29.6061;106.5187;023-67622000;null
盼达用车(寸滩港城东路店);港城东环路6;29.6282;106.6643;null;null
顺意汽车租赁;青龙路291号西南70米;30.9312;108.6953;023-55119886;18523291133
婚庆租车;科城路166号协信彩云湖1号3期附近;29.5127;106.4785;null;null
铄灵租车;跃进路北50米;29.4946;106.4931;null;null
盼达用车;江北国际机场T2航站楼对面;29.7192;106.6352;null;null
飞浩租车;火炬一路;29.5033;106.4882;null;null
地中装网约车;金源路64号附12号;29.5607;106.5296;023-68821192;null
华厦汽车租赁有限公司票务中心;八一路218号雅地天际18层;29.5556;106.5769;null;null
同舟汽车租赁(渝北项目部);长福路179号;29.6797;106.5935;13883151807;18183110168
共资租车;三湾路16号附25号2-37;29.5687;106.5156;023-67115123;15223280180
鼎炫汽车租赁公司;人民西路1号AC世纪城5幢;29.3498;105.9301;023-49888123;null
一笑汽车服务有限公司;白鹤路渝南二手车市场B29;29.5166;106.5461;17823999311;null
盼达用车(力帆棠悦);新溉大道251号(力帆棠悦售楼中心对面);29.6005;106.5366;null;null
名尚汽车租赁;桃园路160号附146号;29.5134;106.5475;023-62390089;null
赛维斯汽车服务有限公司;马王乡龙泉村55号附1号;29.4961;106.4839;null;null
途安租车;白鹤路美全世纪城4.5栋1-33;29.5161;106.5478;023-62770700;null
启顺租车;西郊路附近;29.4918;106.503;null;null
陆航租车;金渝大道56号附96号;29.6452;106.5647;023-63421366;15922910299
重庆灵宇汽车租赁有限公司;杨家坪西城天街A座25层13号;29.5103;106.518;18680811197;null
重庆车佳汇汽车租赁有限公司;红锦大道57号嘉州协信中心B栋617;29.5893;106.5241;023-81304031;null
艾宜租车;龙州大道10号(风花树)红绿灯旁;29.3864;106.5372;null;null
重庆市出租汽车有限责任公司汽车租赁;红黄路90号中北商务大楼B座6层;29.5859;106.5322;023-67525800;null
百分百租车;公园北路230号附7号;29.3943;106.54;17783852717;null
满天星;欧簏花圆剑桥郡;29.4615;106.6228;13308336203;null
颂车小站(05016);龙洲大道;29.4054;106.537;null;null
乐用租车(璧山店);金剑路500号14幢13号(原杜鹃6栋13号);29.5609;106.23;023-41463446;17723536423
众慕租车;云锦路307附18号附近;29.3725;106.5037;null;null
尚益达租车(龙头寺分店);龙头寺天宫大道97号附22号;29.6009;106.5511;023-67880076;023-60368615
海泰汽车租赁;永盛路附近;29.5932;106.3753;null;null
颂车小站(01026);兴塘路2号附5号;29.504;106.652;4000450968;null
客来好租车;鸳鸯北路18-3号附近;29.6652;106.5569;null;null
重庆大明汽车租赁有限公司;南区路160号南园大酒店1-2层;29.5514;106.5536;023-63601618;null
巴南恒初租车公司;渝南大道万达广场楼上;29.3996;106.544;13996135271;null
金美租车;龙海大道3幢6号南70米;29.3993;106.5383;null;null
盟盟同行租车;光彩大道368号鸿达宾馆旁;29.3871;105.8833;null;null
大方租车;通江大道附近;29.5053;106.6546;null;null
